키워드,광고그룹,검색유형,품질평가점수,광고 관련성,예상 CTR,방문 페이지,노출수,클릭수,CTR,평균 CPC,비용,구독 신청,고객 아님
3D,광고그룹 1,확장검색,9,평균 이상,평균 이상,평균 이상,21299,647,3.04%,936,605912,5.00,
온라인 클래스,광고그룹 1,확장검색,9,평균 이상,평균 이상,평균 이상,5822,179,3.08%,999,179262,0.00,
모델링,광고그룹 1,확장검색,5,평균 미만,평균,평균 이상,17263,99,0.58%,969,96235,0.00,
모델링 강의,광고그룹 1,확장검색,7,평균 이상,평균 이상,평균,2976,84,2.84%,948,80102,0.00,
블렌더 강의,광고그룹 1,확장검색,6,평균,평균 이상,평균,3778,72,1.91%,986,70950,0.00,
3D 초보,광고그룹 1,확장검색,6,평균,평균 이상,평균,1496,28,1.90%,1001,28480,0.00,
3D 온라인 강의,광고그룹 1,확장검색,9,평균 이상,평균 이상,평균,736,16,2.19%,972,15658,0.00,
모델링 초보,광고그룹 1,확장검색,4,평균 미만,평균,평균,1476,4,0.24%,941,3401,0.00,
